Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Santa Catarina (SC),25 a 35 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,Rappi,,iFood,,,Americanas Mercado,,,KlubeAtakarejo,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Nessa compra eu ganharia 2  selos,"Sim, gastaria e trocaria pelo microondas",,O produto é melhor e tem mais valor,Bem relevante,No mesmo dia,Provavelmente,R$100,1,1
São Paulo (SP),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto",,"Sim, já recebi descontos em outros serviços",,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos",Coca-Cola,Pepsi com selos em dobro,,"Neste caso irei receber somente 2 selos, correspondentes ao refrigerante","Sim, gastaria e trocaria pelo microondas",,Porque somente 20 selos a mais me garantem um prêmio com valor agregado maior,Gosto,No mesmo dia,Não,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Infelizmente de selo nao entendo mto,"Sim, gastaria e trocaria pelo microondas",,"Porque ja tenho, e pq o microondas é bem melhor.","Eu gosto , acho interessante.",No mesmo dia,Provavelmente,R$100,1,1
Bahia (BA),45 a 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",Extra,,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,Acúmulo de milhas,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Bom,"Não, fico com a sanduicheira",Compraria de outra  forma o microondas,,,No mesmo dia,Sim,R$400,1,1
Paraíba (PB),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Pepsi,,Pepsi,Cartela,"Sim, gastaria e trocaria pelo microondas",,Sem resposta,Legal,Em até 2 meses,Provavelmente,R$200,1,1
Paraná (PR),mais de 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,,,,,,Cartão fidelidade,,Cartela de selinhos,,,,,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Sim,"Não, fico com a sanduicheira",Prazo,,,No mesmo mês,Provavelmente,R$100,1,1
Pernambuco (PE),35 a 45 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nenhum pois não compro pepsi,"Não, fico com a sanduicheira",Microondas não é do meu intersse,,,Em até 2 meses,Depende da campanha,R$100,0,1
Alagoas (AL),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",Extra,,,,,iFood,,,,Uber,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,nao entendi,"Sim, gastaria e trocaria pelo microondas",,aaaaa,nada,Na mesma semana,Não,R$100,1,0
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Eletrodomésticos,Cupons de desconto no BIG,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,"acumulou 2 selos, uma vez que a cada 20,00 reais em compra vale um selo. Como a compra de eletro não tem validade. Apenas os 44,95 do refrigerante pontuou","Sim, gastaria e trocaria pelo microondas",,Porque o microondas tem maior valor.,torna-se interessante. São datas onde as pessoas tendem a gastar um pouco mais. E tendo descontos e/ou benefícios é melhor,No mesmo dia,Não,R$100,1,1
Pernambuco (PE),35 a 45 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",Extra,Carrefour,Pão de Açúcar,Rappi,,iFood,,,,,,Mercado,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Cupons de desconto no BIG,Dinheiro de volta (Cashback),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,"4 selos, pois a Pepsi dá direito a selos em dobro. Geladeira não pontua.","Sim, gastaria e trocaria pelo microondas",,"Compensa para mim o segundo produto, devido ao seu valor e à minha preferência",Nem sempre aproveito esses itens específicos,No mesmo dia,Depende da campanha,R$100,1,1
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,,,Americanas Mercado,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,Que ganharem 21 selos,"Sim, gastaria e trocaria pelo microondas",,Poderei esperar e pegar uma recompensa melhor e maior,Que poderiam expandir para dias comuns,No mesmo dia,Sim,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,,,"Sim, já recebi descontos em outros serviços",,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Pepsi,Pelo cupom fiscal passa despercebido. É preciso uma campanha para as pessoas entenderem onde fica os pontos,"Sim, gastaria e trocaria pelo microondas",,"Sanduicheira é um prêmio simples, uso pouco e fácil de comprar. O Microondas ou algum prêmio equivalente me motiva pelo valor.",Eu nunca vi,No mesmo dia,Depende da campanha,R$100,1,1
São Paulo (SP),45 a 55 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nada,"Sim, gastaria e trocaria pelo microondas",,Pq já tenho 1,Boa,No mesmo dia,Provavelmente,R$100,1,1
Bahia (BA),mais de 55 anos,3 a 5 vezes ao mês,"Acima de 20 salários mínimos (de R$ 20.900,01 em diante)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,Ganharia 52 selos,"Sim, gastaria e trocaria pelo microondas",,Baixo valor,Faz parte da enganação,No mesmo dia,Provavelmente,R$100,1,1
São Paulo (SP),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",Extra,Carrefour,,,,,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,Cartela de selinhos,,Cupons de desconto,,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Nenhum deles,,,2,"Sim, gastaria e trocaria pelo microondas",,O microondas é  melhor,Não tenho interesse em campanhas  temáticas,No mesmo mês,Provavelmente,R$100,1,1
Rio Grande do Sul (RS),18 a 25 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,Cupons de desconto,,,,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Não entendo,"Não, fico com a sanduicheira",Por que acabaria saindo mais caro,,,No mesmo dia,Depende da campanha,R$100,1,1
Ceará (CE),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Que vou receber selos referente ao total da compra,"Sim, gastaria e trocaria pelo microondas",,Porque posso na próxima compra juntar o suficiente para um prêmio maior,Indiferente,No mesmo dia,Não,R$200,0,1
Rio Grande do Sul (RS),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Que os pontos devem vir acumulados a cada novo cupom para conhecimento e troca.,"Sim, gastaria e trocaria pelo microondas",,Pelo valor agregado no outro produto,Interessante,Na mesma semana,Depende da campanha,R$100,1,1
São Paulo (SP),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Ganhei dois selos,"Sim, gastaria e trocaria pelo microondas",,Micoondas parece mais vantajoso pelo valor agregado,Excelentes,No mesmo dia,Depende da campanha,R$400,1,1
Bahia (BA),35 a 45 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,,,Acúmulo de pontos,,,,,,Cupons de desconto,,,,,,,,"Sim, já recebi descontos em outros serviços",,,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Ganhei dois selos pelo refri.,"Não, fico com a sanduicheira",Microondas causa cancer!,,,No mesmo dia,Depende da campanha,R$50,0,1
São Paulo (SP),18 a 25 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,.,"Sim, gastaria e trocaria pelo microondas",,Prefiro produtos melhor,.,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,Rappi,,iFood,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,Ganhei só 2 selos 😑,"Sim, gastaria e trocaria pelo microondas",,Sanduíche é um produto barato. Não precisa de pontos para trocar.,Chato,No mesmo dia,Provavelmente,R$100,1,1
Alagoas (AL),mais de 55 anos,3 a 5 vezes ao mês,"Acima de 20 salários mínimos (de R$ 20.900,01 em diante)",Extra,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,,,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,Cartela de selinhos,,,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,"Sim, já resgatei um produto",,"Sim, já recebi descontos em outros serviços",,,"Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Nenhum deles,,,Só ganha selo na compra da PEPSI 3L,"Não, fico com a sanduicheira","Se não houver necessidade de um novo micro ondas, não tem porque gastar mais",,,Na mesma semana,Provavelmente,R$200,1,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,,,Acúmulo de pontos,,,,,Cashback,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Juntaria 02 selos,"Não, fico com a sanduicheira",Orçamento,,,Na mesma semana,Provavelmente,R$100,0,1
São Paulo (SP),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras",Coca-Cola,Pepsi com selos em dobro,,Teria direito a 2 selos,"Sim, gastaria e trocaria pelo microondas",,Acho o microondas mais interessante.,Interessante,No mesmo dia,Depende da campanha,R$100,1,1
Rio Grande do Sul (RS),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,Cupons de desconto,,,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,,,,Cartão fidelidade,,"Sim, já resgatei um produto",,,,,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Pepsi,,Coca-Cola com selos em dobro,Ao juntar  o número de selos troca  por produto,"Não, fico com a sanduicheira",Controle de despesas,,,Na mesma semana,Depende da campanha,R$200,1,1
